[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
1,11,1. prop8-mean>0,0.5,0,1p1v,1000,0.787,1.513758082,3.798377985,-0.346,3.372188556,0.787
2,11,1. prop8-mean>0,0.5,0,QV,1000,1,2.586637838,3.35916031,0.602043859,2.032859573,0.78
3,11,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.759,1.539861597,4.396764478,-0.608,3.249753359,0.759
4,11,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.985,2.5856307,3.256051682,0.653345283,1.982123154,0.77
5,11,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.805,1.477022438,3.996354399,-0.342,3.34757259,0.805
7,11,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.787,1.648860887,3.655082297,-0.37,3.296356468,0.787
6,11,1. prop8-mean>0,0.5,0.001,QV,1000,0.984,2.436532476,2.971082758,0.509791252,1.864648314,0.772
9,11,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.772,1.44588483,3.852638862,-0.594,3.349385374,0.772
8,11,1. prop8-mean>0,0.5,0.01,QV,1000,0.949,2.581929043,3.23381117,0.630655463,2.028402508,0.777
10,11,1. prop8-mean>0,0.5,0.02,QV,1000,0.92,2.495599233,3.478108454,0.639163587,2.219034559,0.791
11,11,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.778,1.613635742,3.930829581,-0.56,3.332492386,0.778
13,11,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.796,1.612517936,3.65497696,-0.364,3.344052435,0.796
12,11,1. prop8-mean>0,0.5,0.03,QV,1000,0.921,2.528791325,3.734169349,0.598665498,2.173095639,0.772
14,11,1. prop8-mean>0,0.5,0.04,QV,1000,0.898,2.358288003,3.153271126,0.549907314,2.048162516,0.783
15,11,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.787,1.80814377,4.272546473,-0.468,3.235961595,0.787
17,11,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.77,1.575162152,4.072333119,-0.308,3.353264138,0.77
16,11,1. prop8-mean>0,0.5,0.05,QV,1000,0.893,2.605635327,3.821870921,0.718178471,2.40312753,0.782
18,11,1. prop8-mean>0,0.5,0.06,QV,1000,0.887,2.494633122,3.624986466,0.650504746,2.369518297,0.78
19,11,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.796,1.606486622,3.526523443,-0.358,3.372122063,0.796
20,11,1. prop8-mean>0,0.5,0.07,QV,1000,0.885,2.68020593,3.838809958,0.796704171,2.47044034,0.76
21,11,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.781,1.785149827,3.884441249,-0.306,3.282245746,0.781
23,11,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.799,1.623382674,4.123060098,-0.126,3.290433247,0.799
22,11,1. prop8-mean>0,0.5,0.08,QV,1000,0.835,2.406776469,3.769076332,0.687807699,2.321755038,0.765
25,21,1. prop8-mean>0,0.5,0,1p1v,1000,0.738,1.889423853,5.731413705,-1.13,4.474720452,0.738
24,11,1. prop8-mean>0,0.5,0.083,QV,1000,0.853,2.276702021,3.358369795,0.473286102,2.198285415,0.772
26,21,1. prop8-mean>0,0.5,0,QV,1000,1,3.906055213,4.624877494,1.102021993,2.819546025,0.739
27,21,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.733,2.021779272,6.014580757,-0.496,4.629407674,0.733
28,21,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.99,4.161942316,4.707311042,1.341077236,2.831834931,0.724
29,21,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.744,2.098184189,5.899481796,-1.002,4.702564206,0.744
30,21,1. prop8-mean>0,0.5,0.001,QV,1000,0.983,4.097685665,4.862631999,1.245363721,2.938560463,0.727
31,21,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.753,2.182068144,5.644083225,-0.986,4.52462996,0.753
33,21,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.757,1.966703829,5.711401792,-0.948,4.469594307,0.757
32,21,1. prop8-mean>0,0.5,0.01,QV,1000,0.95,4.104608083,4.663975037,1.164378884,2.900226404,0.724
35,21,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.731,2.03473787,6.002751208,-0.832,4.722083658,0.731
34,21,1. prop8-mean>0,0.5,0.02,QV,1000,0.929,3.896698689,4.618871007,1.046025864,2.898827926,0.728
37,21,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.718,1.767257039,6.094797831,-0.912,4.477980383,0.718
36,21,1. prop8-mean>0,0.5,0.03,QV,1000,0.904,3.818619274,4.968042228,1.21414398,3.092457284,0.702
39,21,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.745,2.121614873,6.056445456,-0.896,4.757711616,0.745
38,21,1. prop8-mean>0,0.5,0.04,QV,1000,0.9,3.852320353,4.558614804,1.177417313,2.91805652,0.734
41,21,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.727,1.813919619,5.708135673,-0.744,4.717278529,0.727
40,21,1. prop8-mean>0,0.5,0.05,QV,1000,0.881,3.639203945,4.881333885,1.03151398,3.115198342,0.738
43,21,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.747,1.963283783,5.691868135,-0.92,4.465595318,0.747
42,21,1. prop8-mean>0,0.5,0.06,QV,1000,0.884,3.679243509,4.429588099,1.122628139,3.007107661,0.759
44,21,1. prop8-mean>0,0.5,0.07,QV,1000,0.865,3.641480152,4.753810471,1.036289554,3.116354287,0.717
45,21,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.716,1.738400166,6.122874982,-0.882,4.595126896,0.716
46,21,1. prop8-mean>0,0.5,0.08,QV,1000,0.863,4.042570688,5.680305222,1.401833843,3.641822143,0.756
47,21,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.726,2.049670599,6.4531704,-0.74,4.636582567,0.726
49,31,1. prop8-mean>0,0.5,0,1p1v,1000,0.687,2.228329263,7.967866317,-1.004,5.543890215,0.687
48,21,1. prop8-mean>0,0.5,0.083,QV,1000,0.862,3.666595638,5.139243535,1.155391505,3.449123899,0.749
50,31,1. prop8-mean>0,0.5,0,QV,1000,1,5.356566472,5.710560158,1.780204844,3.487220127,0.728
51,31,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.688,2.251005995,7.335225421,-1.306,5.581892289,0.688
53,31,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.704,2.284760809,7.302682598,-0.998,5.619570764,0.704
52,31,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.989,4.911325306,5.277784548,1.417074071,3.314582556,0.708
55,31,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.701,1.94426291,7.922152192,-1.724,5.622404773,0.701
54,31,1. prop8-mean>0,0.5,0.001,QV,1000,0.988,5.077301075,5.693237548,1.57171472,3.482121356,0.679
56,31,1. prop8-mean>0,0.5,0.01,QV,1000,0.946,5.040735335,5.842435317,1.684389807,3.509923784,0.693
57,31,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.709,2.022133145,7.474560026,-1.376,5.721832168,0.709
59,31,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.695,2.586841216,7.915110667,-0.994,5.770724847,0.695
58,31,1. prop8-mean>0,0.5,0.02,QV,1000,0.939,5.447134683,6.015395729,1.859110972,3.836891115,0.697
61,31,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.71,2.581148755,7.089131698,-0.956,5.445338898,0.71
60,31,1. prop8-mean>0,0.5,0.03,QV,1000,0.901,5.132912114,5.760008224,1.605722288,3.618689665,0.7
63,31,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.681,1.783247729,7.411699066,-1.504,5.527434897,0.681
62,31,1. prop8-mean>0,0.5,0.04,QV,1000,0.896,4.80583263,5.876267009,1.592959383,3.679211265,0.678
65,31,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.688,2.302555908,7.431160994,-1.354,5.634041749,0.688
64,31,1. prop8-mean>0,0.5,0.05,QV,1000,0.89,4.840556558,5.579539315,1.703397536,3.643556792,0.686
67,31,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.671,1.753639656,6.962116365,-1.386,5.229373801,0.671
66,31,1. prop8-mean>0,0.5,0.06,QV,1000,0.896,4.698951454,5.761835219,1.681338193,3.756732277,0.707
68,31,1. prop8-mean>0,0.5,0.07,QV,1000,0.86,4.892805372,6.100553019,1.756530899,3.86166151,0.696
69,31,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.728,2.313121367,7.107372886,-1.038,5.447222065,0.728
71,31,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.672,1.947856978,7.612939288,-1.018,5.581651264,0.672
70,31,1. prop8-mean>0,0.5,0.08,QV,1000,0.856,4.769013849,5.999210319,1.616250712,4.008749578,0.715
73,41,1. prop8-mean>0,0.5,0,1p1v,1000,0.648,1.646241392,8.641617127,-1.898,6.246007413,0.648
72,31,1. prop8-mean>0,0.5,0.083,QV,1000,0.875,5.349835828,6.687713714,2.117124367,4.546371238,0.688
74,41,1. prop8-mean>0,0.5,0,QV,1000,1,6.513565936,6.563790421,2.331206773,3.993510203,0.651
75,41,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.648,2.203895567,8.748236568,-1.942,6.414809879,0.648
77,41,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.66,1.915794112,8.928928773,-1.852,6.408991432,0.66
76,41,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.991,6.344627357,6.756696921,2.222855238,4.070789887,0.678
79,41,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.67,2.477826878,9.421236289,-1.392,6.415566654,0.67
78,41,1. prop8-mean>0,0.5,0.001,QV,1000,0.985,6.323109218,6.702360179,2.298751023,3.978641232,0.668
80,41,1. prop8-mean>0,0.5,0.01,QV,1000,0.957,6.169128289,6.334134945,2.105100991,3.924000853,0.684
81,41,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.661,2.128942584,8.62369851,-1.788,6.26436735,0.661
83,41,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.683,2.693045564,8.415292161,-1.414,6.511759133,0.683
82,41,1. prop8-mean>0,0.5,0.02,QV,1000,0.936,6.247956855,6.456218158,2.199340694,4.063773813,0.662
85,41,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.633,1.825307194,9.066160308,-1.814,6.340157853,0.633
84,41,1. prop8-mean>0,0.5,0.03,QV,1000,0.918,6.170974194,6.923991499,2.159795964,4.218769861,0.671
86,41,1. prop8-mean>0,0.5,0.04,QV,1000,0.912,5.836517676,6.75175847,2.07987052,4.132866132,0.667
87,41,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.649,2.263032086,8.741542985,-1.418,6.450960463,0.649
89,41,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.66,1.988190368,9.216241958,-1.952,6.539760276,0.66
88,41,1. prop8-mean>0,0.5,0.05,QV,1000,0.897,6.40952026,7.294406538,2.388207993,4.595612366,0.666
91,41,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.65,2.098440947,9.187376285,-1.34,6.29825913,0.65
90,41,1. prop8-mean>0,0.5,0.06,QV,1000,0.9,6.065364141,6.946485355,2.287597907,4.334963461,0.664
93,41,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.671,2.212120694,8.889005939,-1.852,6.347470865,0.671
92,41,1. prop8-mean>0,0.5,0.07,QV,1000,0.883,6.149199991,7.385018566,2.404327416,4.897073517,0.679
94,41,1. prop8-mean>0,0.5,0.08,QV,1000,0.852,5.987811329,7.447131058,2.408226223,4.750240331,0.656
95,41,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.678,2.461432379,9.120059423,-1.446,6.653220976,0.678
97,51,1. prop8-mean>0,0.5,0,1p1v,1000,0.619,2.313769778,10.32902771,-2.328,7.024368851,0.619
96,41,1. prop8-mean>0,0.5,0.083,QV,1000,0.871,5.90701927,6.98622739,2.271295043,4.54096844,0.668
98,51,1. prop8-mean>0,0.5,0,QV,1000,1,7.710996451,7.220845375,2.979942286,4.361874978,0.617
99,51,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.638,2.260437447,10.30292839,-2.078,7.136725359,0.638
101,51,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.632,2.071615924,10.29893953,-1.84,7.043863714,0.632
100,51,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.991,7.823613339,7.738894326,3.035617354,4.596024635,0.617
102,51,1. prop8-mean>0,0.5,0.001,QV,1000,0.987,7.469888208,7.167138623,2.92033358,4.268390272,0.623
103,51,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.615,2.26102784,10.491171,-2.07,7.03338955,0.615
105,51,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.634,2.156848804,10.08522471,-1.97,7.381435198,0.634
104,51,1. prop8-mean>0,0.5,0.01,QV,1000,0.951,7.462657894,7.683951088,2.884541114,4.574223799,0.625
107,51,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.602,1.680620314,10.31526043,-2.302,6.947594193,0.602
106,51,1. prop8-mean>0,0.5,0.02,QV,1000,0.941,7.257490415,7.340260353,2.817005911,4.502416692,0.645
109,51,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.649,2.573814884,10.11438933,-1.736,7.234268355,0.649
108,51,1. prop8-mean>0,0.5,0.03,QV,1000,0.934,7.702145127,7.759577185,3.048621494,4.92968851,0.647
110,51,1. prop8-mean>0,0.5,0.04,QV,1000,0.906,7.225984981,7.717911562,2.847997334,4.769875411,0.644
111,51,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.632,1.926957461,10.24111986,-2.308,6.958847718,0.632
113,51,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.627,1.992144678,10.21094342,-2.29,7.230503453,0.627
112,51,1. prop8-mean>0,0.5,0.05,QV,1000,0.905,7.483007049,7.705991383,2.925707594,4.956115916,0.608
115,51,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.635,2.06265383,10.00603223,-1.804,7.374548662,0.635
114,51,1. prop8-mean>0,0.5,0.06,QV,1000,0.903,7.168238347,7.939526697,2.611820987,4.855446493,0.626
117,51,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.588,1.47949463,10.24034038,-2.43,6.847334225,0.588
116,51,1. prop8-mean>0,0.5,0.07,QV,1000,0.871,7.041435339,8.41335155,2.889429494,5.294791107,0.628
119,51,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.619,2.245306546,9.826065738,-1.896,7.191724752,0.619
118,51,1. prop8-mean>0,0.5,0.08,QV,1000,0.885,7.18444498,7.805916313,2.792223513,5.017488671,0.609
120,51,1. prop8-mean>0,0.5,0.083,QV,1000,0.865,6.603537948,7.979833526,2.662166489,5.195861724,0.6
121,61,1. prop8-mean>0,0.5,0,1p1v,1000,0.599,2.429764232,11.68764164,-2.434,7.74852784,0.599
122,61,1. prop8-mean>0,0.5,0,QV,1000,1,8.392202361,7.967317282,3.299761483,4.753430445,0.592
123,61,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.605,2.044260731,11.58538478,-2.456,8.099485519,0.605
125,61,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.608,2.337815134,11.65643957,-2.508,7.89051305,0.608
124,61,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.991,9.110886434,8.873471389,3.651629914,5.217341589,0.618
127,61,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.623,2.505757841,11.96837376,-2.052,7.999830829,0.623
126,61,1. prop8-mean>0,0.5,0.001,QV,1000,0.985,8.607689423,8.476727858,3.39135056,5.017162525,0.606
128,61,1. prop8-mean>0,0.5,0.01,QV,1000,0.952,8.156680785,7.86488037,3.255079362,4.705271729,0.624
129,61,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.626,1.992954618,11.32789598,-2.568,7.570911087,0.626
131,61,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.594,1.859525422,11.4256521,-2.284,7.710434151,0.594
130,61,1. prop8-mean>0,0.5,0.02,QV,1000,0.941,8.460837453,8.351182682,3.524631476,5.094528426,0.613
133,61,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.589,2.167524723,11.6241472,-2.678,7.834902788,0.589
132,61,1. prop8-mean>0,0.5,0.03,QV,1000,0.912,8.282529558,8.365839204,3.316803803,5.184492114,0.595
135,61,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.59,1.653627041,11.51849847,-2.762,7.81898283,0.59
134,61,1. prop8-mean>0,0.5,0.04,QV,1000,0.93,8.297023911,8.259903333,3.304711234,5.147844511,0.61
137,61,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.598,2.252980984,11.94750065,-2.384,7.762009585,0.598
136,61,1. prop8-mean>0,0.5,0.05,QV,1000,0.921,8.269561895,8.393015984,3.243806247,5.442517869,0.618
139,61,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.601,1.954987235,11.78132713,-2.702,7.691446831,0.601
138,61,1. prop8-mean>0,0.5,0.06,QV,1000,0.898,8.515539919,9.083788635,3.604666634,5.564951569,0.617
140,61,1. prop8-mean>0,0.5,0.07,QV,1000,0.866,7.598811228,8.539964732,3.160749825,5.40149947,0.593
141,61,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.594,1.593302052,11.81026953,-2.37,7.756498131,0.594
143,61,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.597,1.856296141,11.71768312,-2.318,7.748478232,0.597
142,61,1. prop8-mean>0,0.5,0.08,QV,1000,0.901,8.161164861,8.693246116,3.498805217,5.584041992,0.6
145,71,1. prop8-mean>0,0.5,0,1p1v,1000,0.594,2.541003185,13.46527926,-2.542,8.66101895,0.594
144,61,1. prop8-mean>0,0.5,0.083,QV,1000,0.865,7.985962255,8.52129732,3.553201032,5.413952581,0.619
146,71,1. prop8-mean>0,0.5,0,QV,1000,1,9.734760654,8.79157905,3.950870035,5.235749504,0.574
147,71,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.582,2.097537084,13.09225717,-2.502,8.289312921,0.582
148,71,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.996,9.059082377,8.8002647,3.698218043,5.113742804,0.582
149,71,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.577,1.499170033,12.4077565,-2.63,8.169077906,0.577
151,71,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.61,2.331767001,12.70599298,-2.256,8.769228208,0.61
150,71,1. prop8-mean>0,0.5,0.001,QV,1000,0.988,9.639997062,9.224533872,3.983017224,5.331660636,0.583
153,71,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.595,2.341451462,12.33027519,-2.73,8.260225864,0.595
152,71,1. prop8-mean>0,0.5,0.01,QV,1000,0.962,9.6909399,9.64837217,4.012725073,5.621274588,0.586
154,71,1. prop8-mean>0,0.5,0.02,QV,1000,0.951,9.602517502,9.570196212,4.030538325,5.686965469,0.572
155,71,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.587,1.878622392,12.6318246,-2.65,8.102045615,0.587
157,71,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.576,2.339564989,12.62256494,-2.9,8.565007844,0.576
156,71,1. prop8-mean>0,0.5,0.03,QV,1000,0.933,9.611914419,9.27235111,4.1356862,5.643948935,0.591
158,71,1. prop8-mean>0,0.5,0.04,QV,1000,0.926,9.613142565,8.809400433,4.110045182,5.324820426,0.587
159,71,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.562,1.63262878,13.60742643,-2.86,8.318750002,0.562
161,71,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.562,1.867765937,13.26493967,-2.998,8.190181627,0.562
